"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Fem";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"314795 Patis";-;-;-;-
"314800 Patos de Minas";11;10;10;18
"314810 Patrocínio";-;-;-;3
"314820 Patrocínio do Muriaé";-;-;-;-
"314830 Paula Cândido";-;-;-;-
"314840 Paulistas";-;-;-;-
"314850 Pavão";-;-;-;-
"314860 Peçanha";-;3;3;-
"314870 Pedra Azul";-;-;-;6
"314875 Pedra Bonita";-;-;-;-
"314880 Pedra do Anta";-;-;-;-
"314890 Pedra do Indaiá";-;-;-;-
"314900 Pedra Dourada";-;-;-;-
"314910 Pedralva";-;2;2;-
"314915 Pedras de Maria da Cruz";-;-;-;-
"314920 Pedrinópolis";2;4;4;-
"314930 Pedro Leopoldo";2;2;2;28
"314940 Pedro Teixeira";-;-;-;-
"314950 Pequeri";-;-;-;-
"314960 Pequi";-;-;-;-
"314970 Perdigão";-;-;-;2
"314980 Perdizes";-;-;-;-
"314990 Perdões";2;3;3;1
"314995 Periquito";-;-;-;-
"315000 Pescador";-;-;-;-
"315010 Piau";-;-;-;-
"315015 Piedade de Caratinga";-;-;-;3
"315020 Piedade de Ponte Nova";-;-;-;-
"315030 Piedade do Rio Grande";-;-;-;3
"315040 Piedade dos Gerais";-;-;-;-
"315050 Pimenta";-;-;-;-
"315053 Pingo-d'Água";-;-;-;-
"315057 Pintópolis";-;-;-;-
"315060 Piracema";3;3;3;-
"315070 Pirajuba";-;-;-;-
"315080 Piranga";-;-;-;-
"315090 Piranguçu";-;-;-;-
"315100 Piranguinho";-;-;-;-
"315110 Pirapetinga";2;2;3;2
"315120 Pirapora";-;-;-;-
"315130 Piraúba";-;-;-;3
"315140 Pitangui";-;-;-;-
"315150 Piumhi";-;-;-;2
"315160 Planura";-;-;-;4
"315170 Poço Fundo";-;-;-;-
"315180 Poços de Caldas";12;5;5;56
"315190 Pocrane";-;-;-;1
"315200 Pompéu";3;-;-;5
"315210 Ponte Nova";-;2;2;8
"315213 Ponto Chique";-;-;-;-
"315217 Ponto dos Volantes";-;-;-;-
"315220 Porteirinha";-;-;-;2
"315230 Porto Firme";-;-;-;-
"315240 Poté";-;2;2;-
"315250 Pouso Alegre";6;4;4;10
"315260 Pouso Alto";-;-;-;-
"315270 Prados";1;-;1;-
"315280 Prata";-;-;-;-
"315290 Pratápolis";-;-;-;-
"315300 Pratinha";-;-;-;-
"315310 Presidente Bernardes";-;-;-;1
"315320 Presidente Juscelino";-;-;-;-
"315330 Presidente Kubitschek";-;-;-;-
"315340 Presidente Olegário";-;-;-;-
"315360 Prudente de Morais";-;-;-;-
"315370 Quartel Geral";-;-;-;-
"315380 Queluzito";-;-;-;-
"315390 Raposos";3;3;3;-
"315400 Raul Soares";1;1;1;2
"315410 Recreio";-;3;3;-
"315415 Reduto";-;-;-;-
"315420 Resende Costa";-;-;-;4
"315430 Resplendor";-;-;-;-
"315440 Ressaquinha";-;-;-;-
"315445 Riachinho";-;-;-;-
"315450 Riacho dos Machados";-;-;-;-
"315460 Ribeirão das Neves";7;6;6;7
"315470 Ribeirão Vermelho";-;-;-;1
"315480 Rio Acima";-;-;-;8
"315490 Rio Casca";-;-;-;-
"315510 Rio do Prado";-;2;3;-
"315500 Rio Doce";-;-;-;-
"315520 Rio Espera";-;-;-;-
"315530 Rio Manso";-;-;-;-
"315540 Rio Novo";-;-;-;-
"315550 Rio Paranaíba";-;1;1;-
"315560 Rio Pardo de Minas";1;1;1;-
"315570 Rio Piracicaba";1;4;2;-
"315580 Rio Pomba";-;-;-;-
"315590 Rio Preto";-;-;-;-
"315600 Rio Vermelho";-;-;-;-
"315610 Ritápolis";-;-;-;-
"315620 Rochedo de Minas";-;-;-;-
"315630 Rodeiro";-;-;-;-
"315640 Romaria";-;-;-;-
"315645 Rosário da Limeira";-;-;-;-
"315650 Rubelita";-;-;-;-
"315660 Rubim";-;-;-;-
"315670 Sabará";-;-;-;19
"315680 Sabinópolis";-;-;-;-
"315690 Sacramento";1;2;2;1
"315700 Salinas";3;3;3;11
"315710 Salto da Divisa";-;-;-;3
"315720 Santa Bárbara";3;2;2;-
"315725 Santa Bárbara do Leste";-;-;-;-
"315727 Santa Bárbara do Monte Verde";-;-;-;-
"315730 Santa Bárbara do Tugúrio";-;-;-;-
"315733 Santa Cruz de Minas";-;-;-;-
"315737 Santa Cruz de Salinas";-;-;-;-
"315740 Santa Cruz do Escalvado";-;-;-;-
"315750 Santa Efigênia de Minas";-;-;-;-
"315760 Santa Fé de Minas";-;-;-;-
"315765 Santa Helena de Minas";-;-;-;-
"315770 Santa Juliana";-;-;-;-
"315780 Santa Luzia";10;12;12;8
"315790 Santa Margarida";-;3;3;-
"315800 Santa Maria de Itabira";-;-;-;2
"315810 Santa Maria do Salto";-;-;-;5
"315820 Santa Maria do Suaçuí";-;-;-;-
"315920 Santa Rita de Caldas";-;-;-;3
"315940 Santa Rita de Ibitipoca";1;1;1;-
"315930 Santa Rita de Jacutinga";-;-;-;-
"315935 Santa Rita de Minas";-;-;-;-
"315950 Santa Rita do Itueto";-;-;-;-
"315960 Santa Rita do Sapucaí";-;-;-;-
"315970 Santa Rosa da Serra";-;-;-;-
"315980 Santa Vitória";-;-;-;-
"315830 Santana da Vargem";-;-;-;-
"315840 Santana de Cataguases";-;-;-;-
"315850 Santana de Pirapama";-;-;-;-
"315860 Santana do Deserto";-;-;-;-
"315870 Santana do Garambéu";-;-;-;-
"315880 Santana do Jacaré";-;-;-;-
"315890 Santana do Manhuaçu";-;-;-;-
"315895 Santana do Paraíso";-;-;-;-
"315900 Santana do Riacho";-;-;-;8
"315910 Santana dos Montes";-;-;-;-
"315990 Santo Antônio do Amparo";-;3;3;-
"316000 Santo Antônio do Aventureiro";-;-;-;-
"316010 Santo Antônio do Grama";-;-;-;-
"316020 Santo Antônio do Itambé";-;-;-;-
"316030 Santo Antônio do Jacinto";-;3;4;-
"316040 Santo Antônio do Monte";3;3;3;2
"316045 Santo Antônio do Retiro";-;-;-;2
"316050 Santo Antônio do Rio Abaixo";-;-;-;-
"316060 Santo Hipólito";-;-;-;-
"316070 Santos Dumont";-;-;-;3
"316080 São Bento Abade";2;-;-;-
"316090 São Brás do Suaçuí";-;-;-;-
"316095 São Domingos das Dores";-;-;-;-
"316100 São Domingos do Prata";-;4;2;1
"316105 São Félix de Minas";-;-;1;-
"316110 São Francisco";-;-;-;2
"316120 São Francisco de Paula";-;-;-;-
"316130 São Francisco de Sales";4;3;2;-
"316140 São Francisco do Glória";-;-;-;-
"316150 São Geraldo";-;-;-;-
"316160 São Geraldo da Piedade";-;-;-;-
"316165 São Geraldo do Baixio";-;-;-;-
"316170 São Gonçalo do Abaeté";-;-;-;-
"316180 São Gonçalo do Pará";-;-;-;-
"316190 São Gonçalo do Rio Abaixo";-;-;-;2
"312550 São Gonçalo do Rio Preto";-;-;-;-
"316200 São Gonçalo do Sapucaí";3;4;4;-
"316210 São Gotardo";2;3;3;1
"316220 São João Batista do Glória";-;2;2;-
"316225 São João da Lagoa";-;-;-;-
"316230 São João da Mata";-;-;-;-
"316240 São João da Ponte";-;-;-;-
"316245 São João das Missões";-;-;-;-
"316250 São João del Rei";3;-;-;12
"316255 São João do Manhuaçu";-;-;-;-
"316257 São João do Manteninha";-;1;-;3
"316260 São João do Oriente";-;-;-;-
"316265 São João do Pacuí";-;-;-;-
"316270 São João do Paraíso";-;-;-;4
"316280 São João Evangelista";-;-;-;7
"316290 São João Nepomuceno";-;-;-;-
"316292 São Joaquim de Bicas";3;3;3;8
"316294 São José da Barra";2;2;2;-
"316295 São José da Lapa";2;2;2;-
"316300 São José da Safira";-;-;-;-
"316310 São José da Varginha";-;-;-;-
"316320 São José do Alegre";-;-;-;-
"316330 São José do Divino";-;-;-;-
"316340 São José do Goiabal";-;-;-;-
"316350 São José do Jacuri";-;-;-;-
"316360 São José do Mantimento";-;-;-;-
"316370 São Lourenço";6;7;8;12
"316380 São Miguel do Anta";-;-;-;-
"316390 São Pedro da União";-;-;-;2
"316410 São Pedro do Suaçuí";-;-;-;-
"316400 São Pedro dos Ferros";-;-;-;-
"316420 São Romão";-;1;1;-
"316430 São Roque de Minas";-;-;-;-
"316440 São Sebastião da Bela Vista";-;-;-;-
"316443 São Sebastião da Vargem Alegre";-;-;-;-
"316447 São Sebastião do Anta";-;-;-;-
"316450 São Sebastião do Maranhão";-;-;-;-
"316460 São Sebastião do Oeste";-;-;-;-
"316470 São Sebastião do Paraíso";6;8;9;16
"316480 São Sebastião do Rio Preto";-;-;-;-
"316490 São Sebastião do Rio Verde";-;-;-;-
"316520 São Thomé das Letras";-;-;-;-
"316500 São Tiago";1;1;1;-
"316510 São Tomás de Aquino";3;3;4;-
"316530 São Vicente de Minas";-;-;-;1
"316540 Sapucaí-Mirim";-;-;-;-
"316550 Sardoá";-;-;-;-
"316553 Sarzedo";-;10;-;-
"316556 Sem-Peixe";-;-;-;-
"316557 Senador Amaral";-;-;-;-
"316560 Senador Cortes";-;-;-;-
"316570 Senador Firmino";-;-;-;-
"316580 Senador José Bento";-;-;-;-
"316590 Senador Modestino Gonçalves";-;-;-;-
"316600 Senhora de Oliveira";-;-;-;1
"316610 Senhora do Porto";-;-;-;-
"316620 Senhora dos Remédios";-;-;-;-
"316630 Sericita";-;-;-;-
"316640 Seritinga";-;-;-;1
"316650 Serra Azul de Minas";-;-;-;-
"316660 Serra da Saudade";-;-;-;-
"316680 Serra do Salitre";-;-;-;-
"316670 Serra dos Aimorés";-;-;-;-
"316690 Serrania";-;-;-;1
"316695 Serranópolis de Minas";-;-;-;-
"316700 Serranos";-;3;3;-
"316710 Serro";-;-;-;-
"316720 Sete Lagoas";16;22;17;10
"316555 Setubinha";-;-;-;-
"316730 Silveirânia";-;-;-;-
"316740 Silvianópolis";-;-;-;-
"316750 Simão Pereira";-;-;-;-
"316760 Simonésia";-;6;6;-
"316770 Sobrália";-;-;-;-
"316780 Soledade de Minas";-;-;-;-
"316790 Tabuleiro";-;-;-;-
"316800 Taiobeiras";-;-;-;6
"316805 Taparuba";-;-;-;-
"316810 Tapira";-;-;-;-
"316820 Tapiraí";-;-;-;-
"316830 Taquaraçu de Minas";-;-;-;-
"316840 Tarumirim";-;-;-;-
"316850 Teixeiras";-;-;-;-
"316860 Teófilo Otoni";11;8;7;10
"316870 Timóteo";11;11;9;10
"316880 Tiradentes";3;3;3;-
"316890 Tiros";-;-;-;-
"316900 Tocantins";-;-;-;-
"316905 Tocos do Moji";-;-;-;-
"316910 Toledo";-;-;-;-
"316920 Tombos";-;2;2;-
"316930 Três Corações";3;4;4;-
"316935 Três Marias";3;4;4;-
"316940 Três Pontas";7;7;9;-
"316950 Tumiritinga";-;-;-;-
"316960 Tupaciguara";-;-;-;-
"316970 Turmalina";-;-;-;1
"316980 Turvolândia";-;-;-;-
"316990 Ubá";8;4;5;5
"317000 Ubaí";-;-;-;-
"317005 Ubaporanga";-;-;-;-
"317010 Uberaba";18;12;6;91
"317020 Uberlândia";25;49;33;57
"317030 Umburatiba";-;-;-;-
"317040 Unaí";4;3;3;2
"317043 União de Minas";-;-;-;-
"317047 Uruana de Minas";-;-;-;-
"317050 Urucânia";-;-;-;-
"317052 Urucuia";-;1;2;-
"317057 Vargem Alegre";-;-;-;-
"317060 Vargem Bonita";-;-;-;-
"317065 Vargem Grande do Rio Pardo";-;-;-;-
"317070 Varginha";12;24;19;30
"317075 Varjão de Minas";-;-;-;-
"317080 Várzea da Palma";-;2;2;13
"317090 Varzelândia";-;-;-;-
"317100 Vazante";-;2;2;-
"317103 Verdelândia";-;-;-;-
"317107 Veredinha";-;-;-;-
"317110 Veríssimo";-;-;-;-
"317115 Vermelho Novo";-;-;-;-
"317120 Vespasiano";6;2;3;21
"317130 Viçosa";-;-;-;10
"317140 Vieiras";-;-;-;-
"317160 Virgem da Lapa";-;-;-;3
"317170 Virgínia";6;2;2;11
"317180 Virginópolis";-;-;-;4
"317190 Virgolândia";-;-;-;-
"317200 Visconde do Rio Branco";2;2;2;1
"317210 Volta Grande";-;-;-;-
"317220 Wenceslau Braz";-;-;-;-
"310000 Município ignorado - MG";-;-;-;-
"320010 Afonso Cláudio";-;2;2;2
"320016 Água Doce do Norte";-;-;-;5
"320013 Águia Branca";-;-;-;-
"320020 Alegre";-;5;4;3
"320030 Alfredo Chaves";-;3;-;-
"320035 Alto Rio Novo";-;-;-;-
"320040 Anchieta";5;5;5;4
"320050 Apiacá";-;3;3;6
"320060 Aracruz";5;10;9;1
"320070 Atilio Vivacqua";3;4;4;-
"320080 Baixo Guandu";2;3;3;-
"320090 Barra de São Francisco";4;3;3;3
"320100 Boa Esperança";-;-;-;2
"320110 Bom Jesus do Norte";-;-;-;-
"320115 Brejetuba";-;-;-;4
"320120 Cachoeiro de Itapemirim";5;1;2;34
"320130 Cariacica";14;1;1;38
"320140 Castelo";-;4;3;6
"320150 Colatina";20;18;18;6
"320160 Conceição da Barra";-;-;-;-
"320170 Conceição do Castelo";-;-;-;6
"320180 Divino de São Lourenço";-;-;-;-
"320190 Domingos Martins";2;3;3;-
"320200 Dores do Rio Preto";-;-;-;-
"320210 Ecoporanga";-;2;3;-
"320220 Fundão";-;-;-;3
"320225 Governador Lindenberg";-;-;-;-
"320230 Guaçuí";-;4;4;-
"320240 Guarapari";-;-;-;2
"320245 Ibatiba";-;-;-;3
"320250 Ibiraçu";2;3;3;-
"320255 Ibitirama";-;8;8;-
"320260 Iconha";-;3;3;-
"320265 Irupi";-;3;4;-
"320270 Itaguaçu";-;-;-;1
"320280 Itapemirim";-;3;3;4
"320290 Itarana";-;-;-;3
"320300 Iúna";-;-;-;4
"320305 Jaguaré";6;6;4;3
"320310 Jerônimo Monteiro";-;-;-;4
"320313 João Neiva";-;-;-;3
"320316 Laranja da Terra";-;-;-;2
"320320 Linhares";10;9;8;10
"320330 Mantenópolis";-;3;3;-
"320332 Marataízes";-;6;4;-
"320334 Marechal Floriano";2;2;2;-
"320335 Marilândia";-;-;-;-
"320340 Mimoso do Sul";1;4;4;2
"320350 Montanha";-;-;-;2
"320360 Mucurici";-;-;-;-
"320370 Muniz Freire";4;3;5;-
"320380 Muqui";10;-;-;-
"320390 Nova Venécia";-;-;-;-
"320400 Pancas";-;-;-;-
"320405 Pedro Canário";2;3;3;2
"320410 Pinheiros";-;-;1;-
"320420 Piúma";6;3;3;4
"320425 Ponto Belo";6;6;6;1
"320430 Presidente Kennedy";-;-;-;-
"320435 Rio Bananal";-;-;-;-
"320440 Rio Novo do Sul";-;4;4;1
"320450 Santa Leopoldina";-;-;-;2
"320455 Santa Maria de Jetibá";-;-;-;3
"320460 Santa Teresa";1;5;5;-
"320465 São Domingos do Norte";-;-;-;-
"320470 São Gabriel da Palha";4;3;4;-
"320480 São José do Calçado";-;-;-;6
"320490 São Mateus";21;-;3;27
"320495 São Roque do Canaã";-;-;-;-
"320500 Serra";27;18;17;47
"320501 Sooretama";-;-;-;-
"320503 Vargem Alta";-;5;5;4
"320506 Venda Nova do Imigrante";-;-;-;20
"320510 Viana";4;3;3;10
"320515 Vila Pavão";-;-;-;-
"320517 Vila Valério";-;-;-;2
"320520 Vila Velha";43;9;10;33
"320530 Vitória";17;14;5;104
"320000 Município ignorado - ES";-;-;-;-
"330010 Angra dos Reis";28;9;9;49
"330015 Aperibé";-;-;-;4
"330020 Araruama";4;-;-;21
"330022 Areal";-;-;-;4
"330023 Armação dos Búzios";-;8;8;4
"330025 Arraial do Cabo";2;3;3;6
"330030 Barra do Piraí";2;4;4;29
"330040 Barra Mansa";7;19;17;12
"330045 Belford Roxo";22;-;-;31
"330050 Bom Jardim";3;4;4;-
"330060 Bom Jesus do Itabapoana";-;4;4;2
"330070 Cabo Frio";25;13;12;53
"330080 Cachoeiras de Macacu";2;-;-;8
"330090 Cambuci";-;-;-;3
"330100 Campos dos Goytacazes";57;82;79;60
"330110 Cantagalo";2;-;-;4
"330093 Carapebus";4;5;7;-
"330115 Cardoso Moreira";-;-;-;-
"330120 Carmo";-;-;-;5
"330130 Casimiro de Abreu";7;7;7;3
"330095 Comendador Levy Gasparian";-;-;-;-
"330140 Conceição de Macabu";-;3;4;-
"330150 Cordeiro";4;-;-;10
"330160 Duas Barras";2;2;2;2
"330170 Duque de Caxias";57;48;49;81
"330180 Engenheiro Paulo de Frontin";-;5;3;1
"330185 Guapimirim";3;3;5;-
"330187 Iguaba Grande";5;-;-;13
"330190 Itaboraí";15;2;2;33
"330200 Itaguaí";8;4;7;11
"330205 Italva";-;-;-;5
"330210 Itaocara";-;-;-;6
"330220 Itaperuna";6;5;6;3
"330225 Itatiaia";2;3;3;1
"330227 Japeri";3;-;-;8
"330230 Laje do Muriaé";2;2;2;-
"330240 Macaé";24;23;23;59
"330245 Macuco";2;6;6;-
"330250 Magé";25;29;38;51
"330260 Mangaratiba";2;4;4;3
"330270 Maricá";4;2;2;16
"330280 Mendes";-;-;-;-
"330285 Mesquita";3;4;-;10
"330290 Miguel Pereira";3;2;-;4
"330300 Miracema";1;1;1;10
"330310 Natividade";-;-;-;6
"330320 Nilópolis";3;4;-;14
"330330 Niterói";33;28;39;148
"330340 Nova Friburgo";17;18;18;34
"330350 Nova Iguaçu";58;29;29;62
"330360 Paracambi";1;-;-;9
"330370 Paraíba do Sul";-;-;-;8
"330380 Paraty";4;4;4;-
"330385 Paty do Alferes";-;-;1;-
"330390 Petrópolis";16;18;17;53
"330395 Pinheiral";2;2;2;-
"330400 Piraí";-;-;-;6
"330410 Porciúncula";6;-;1;-
"330411 Porto Real";2;4;2;-
"330412 Quatis";-;-;-;1
"330414 Queimados";16;-;-;9
"330415 Quissamã";4;6;6;7
"330420 Resende";15;6;6;44
"330430 Rio Bonito";3;6;4;12
"330440 Rio Claro";2;1;1;6
"330450 Rio das Flores";-;-;-;1
"330452 Rio das Ostras";2;-;-;12
"330455 Rio de Janeiro";273;131;152;965
"330460 Santa Maria Madalena";-;-;-;3
"330470 Santo Antônio de Pádua";2;3;3;1
"330480 São Fidélis";3;4;4;-
"330475 São Francisco de Itabapoana";3;-;-;10
"330490 São Gonçalo";38;42;22;296
"330500 São João da Barra";5;3;3;22
"330510 São João de Meriti";17;6;6;50
"330513 São José de Ubá";-;-;-;2
"330515 São José do Vale do Rio Preto";-;6;3;1
"330520 São Pedro da Aldeia";11;4;5;12
"330530 São Sebastião do Alto";-;2;2;4
"330540 Sapucaia";2;2;2;4
"330550 Saquarema";5;3;2;29
"330555 Seropédica";4;1;-;13
"330560 Silva Jardim";3;-;-;6
"330570 Sumidouro";-;-;-;2
"330575 Tanguá";3;103;103;1
"330580 Teresópolis";8;18;17;21
"330590 Trajano de Moraes";1;1;1;-
"330600 Três Rios";5;3;3;20
"330610 Valença";14;15;15;7
"330615 Varre-Sai";3;2;3;-
"330620 Vassouras";1;1;2;8
"330630 Volta Redonda";24;16;14;36
"330000 Município ignorado - RJ";-;-;-;-
"350010 Adamantina";-;1;-;4
"350020 Adolfo";-;-;-;-
"350030 Aguaí";-;7;8;-
"350040 Águas da Prata";-;-;-;4
"350050 Águas de Lindóia";-;-;-;-
"350055 Águas de Santa Bárbara";3;3;2;-
"350060 Águas de São Pedro";-;-;-;6
"350070 Agudos";5;8;8;-
"350075 Alambari";-;-;-;1
"350080 Alfredo Marcondes";-;-;-;-
"350090 Altair";-;-;-;-
"350100 Altinópolis";-;-;-;-
"350110 Alto Alegre";-;-;-;2
"350115 Alumínio";-;-;-;-
"350120 Álvares Florence";-;-;-;-
"350130 Álvares Machado";-;-;-;-
"350140 Álvaro de Carvalho";-;-;-;-
"350150 Alvinlândia";-;-;-;-
"350160 Americana";8;4;3;40
"350170 Américo Brasiliense";-;-;-;4
"350180 Américo de Campos";-;-;-;-
"350190 Amparo";8;6;6;23
"350200 Analândia";-;-;-;-
"350210 Andradina";-;-;-;-
"350220 Angatuba";-;-;-;-
"350230 Anhembi";1;2;2;-
"350240 Anhumas";-;-;-;-
"350250 Aparecida";5;5;5;-
"350260 Aparecida d'Oeste";-;-;-;-
"350270 Apiaí";-;2;3;-
"350275 Araçariguama";5;5;5;-
"350280 Araçatuba";11;8;9;31
"350290 Araçoiaba da Serra";-;4;4;7
"350300 Aramina";-;-;-;-
"350310 Arandu";-;2;2;-
"350315 Arapeí";-;-;-;-
"350320 Araraquara";6;16;14;44
"350330 Araras";9;10;10;9
"350335 Arco-Íris";-;-;-;-
"350340 Arealva";-;-;-;3
"350350 Areias";-;4;4;-
"350360 Areiópolis";-;-;-;-
"350370 Ariranha";-;-;-;-
"350380 Artur Nogueira";7;6;6;13
"350390 Arujá";3;-;-;3
"350395 Aspásia";-;-;-;-
"350400 Assis";9;7;7;16
"350410 Atibaia";16;4;4;29
"350420 Auriflama";3;3;3;2
"350430 Avaí";-;-;-;-
"350440 Avanhandava";-;-;-;1
"350450 Avaré";4;5;4;-
"350460 Bady Bassitt";-;3;3;-
"350470 Balbinos";-;-;-;-
"350480 Bálsamo";-;-;-;6
"350490 Bananal";4;-;-;3
"350500 Barão de Antonina";-;-;-;-
"350510 Barbosa";-;3;3;1
"350520 Bariri";-;-;-;3
"350530 Barra Bonita";-;3;3;2
"350535 Barra do Chapéu";-;-;-;-
"350540 Barra do Turvo";4;-;-;-
"350550 Barretos";3;-;-;77
"350560 Barrinha";-;-;-;6
"350570 Barueri";70;22;19;40
"350580 Bastos";-;1;1;11
"350590 Batatais";-;-;-;3
"350600 Bauru";28;28;32;55
"350610 Bebedouro";8;-;-;20
"350620 Bento de Abreu";-;-;-;-
"350630 Bernardino de Campos";-;-;-;3
"350635 Bertioga";8;6;5;7
"350640 Bilac";-;-;-;2
"350650 Birigui";12;13;13;7
"350660 Biritiba-Mirim";3;3;3;-
"350670 Boa Esperança do Sul";-;-;-;-
"350680 Bocaina";-;-;-;2
"350690 Bofete";-;-;-;-
"350700 Boituva";-;-;-;6
"350710 Bom Jesus dos Perdões";-;-;-;-
"350715 Bom Sucesso de Itararé";-;-;-;-
"350720 Borá";-;-;-;-
"350730 Boracéia";-;-;-;-
"350740 Borborema";-;2;-;4
"350745 Borebi";-;-;-;-
"350750 Botucatu";8;13;12;4
"350760 Bragança Paulista";14;8;6;33
"350770 Braúna";-;-;-;-
"350775 Brejo Alegre";-;-;-;-
"350780 Brodowski";-;-;-;-
"350790 Brotas";-;3;3;-
"350800 Buri";5;3;4;2
"350810 Buritama";-;-;-;3
"350820 Buritizal";-;-;-;-
"350830 Cabrália Paulista";-;-;-;-
"350840 Cabreúva";10;8;8;11
"350850 Caçapava";4;5;7;6
"350860 Cachoeira Paulista";-;4;4;-
"350870 Caconde";-;-;-;5
"350880 Cafelândia";-;-;-;4
"350890 Caiabu";-;-;-;-
"350900 Caieiras";11;6;2;18
"350910 Caiuá";-;-;-;-
"350920 Cajamar";3;-;-;13
"350925 Cajati";5;5;5;-
"350930 Cajobi";-;-;-;6
"350940 Cajuru";-;-;-;-
"350945 Campina do Monte Alegre";-;-;-;-
"350950 Campinas";67;41;32;153
"350960 Campo Limpo Paulista";-;-;-;9
"350970 Campos do Jordão";3;2;2;2
"350980 Campos Novos Paulista";-;-;-;-
"350990 Cananéia";3;2;3;2
"350995 Canas";-;-;-;-
"351000 Cândido Mota";3;4;4;-
"351010 Cândido Rodrigues";-;-;-;4
"351015 Canitar";-;-;-;-
"351020 Capão Bonito";3;2;2;1
"351030 Capela do Alto";2;3;4;-
"351040 Capivari";2;3;3;15
"351050 Caraguatatuba";10;8;11;27
"351060 Carapicuíba";20;3;4;28
"351070 Cardoso";-;-;-;8
"351080 Casa Branca";-;-;-;46
"351090 Cássia dos Coqueiros";-;-;-;2
"351100 Castilho";-;-;-;4
"351110 Catanduva";1;1;1;31
"351120 Catiguá";-;-;-;-
"351130 Cedral";-;-;-;7
"351140 Cerqueira César";-;-;-;1
"351150 Cerquilho";-;3;3;6
"351160 Cesário Lange";-;-;-;4
"351170 Charqueada";-;-;-;-
"355720 Chavantes";-;3;2;-
"351190 Clementina";-;-;-;-
"351200 Colina";-;2;2;-
"351210 Colômbia";-;-;-;-
"351220 Conchal";-;-;-;16
"351230 Conchas";-;3;2;-
"351240 Cordeirópolis";-;-;-;-
"351250 Coroados";-;-;-;-
"351260 Coronel Macedo";-;-;-;1
"351270 Corumbataí";-;2;-;-
"351280 Cosmópolis";-;-;-;5
"351290 Cosmorama";-;4;3;-
"351300 Cotia";9;11;10;25
"351310 Cravinhos";-;3;2;-
"351320 Cristais Paulista";-;-;-;-
"351330 Cruzália";-;-;-;-
"351340 Cruzeiro";3;3;3;-
"351350 Cubatão";9;8;9;12
"351360 Cunha";2;2;2;-
"351370 Descalvado";-;-;-;-
"351380 Diadema";29;7;7;41
"351385 Dirce Reis";-;-;-;-
"351390 Divinolândia";-;-;3;4
"351400 Dobrada";-;-;-;-
"351410 Dois Córregos";2;3;1;-
"351420 Dolcinópolis";-;-;-;-
"351430 Dourado";-;-;-;3
"351440 Dracena";1;2;2;19
"351450 Duartina";2;1;2;-
"351460 Dumont";-;-;1;-
"351470 Echaporã";-;-;-;-
"351480 Eldorado";-;4;4;1
"351490 Elias Fausto";-;-;-;-
"351492 Elisiário";-;-;-;-
"351495 Embaúba";-;-;-;-
"351500 Embu das Artes";5;23;22;25
"351510 Embu-Guaçu";1;2;2;11
"351512 Emilianópolis";-;-;-;-
"351515 Engenheiro Coelho";1;2;3;-
"351518 Espírito Santo do Pinhal";3;3;4;-
"351519 Espírito Santo do Turvo";-;-;-;-
"355730 Estiva Gerbi";-;4;4;-
"351520 Estrela d'Oeste";-;-;-;2
"351530 Estrela do Norte";-;-;-;-
"351535 Euclides da Cunha Paulista";-;-;-;-
"351540 Fartura";2;3;3;-
"351560 Fernando Prestes";-;-;-;-
"351550 Fernandópolis";1;7;7;1
"351565 Fernão";-;-;1;-
"351570 Ferraz de Vasconcelos";6;-;-;21
"351580 Flora Rica";-;-;-;-
"351590 Floreal";-;-;-;-
"351600 Flórida Paulista";-;-;-;-
"351610 Florínia";-;-;-;-
"351620 Franca";18;9;9;18
"351630 Francisco Morato";15;14;13;18
"351640 Franco da Rocha";12;11;11;42
"351650 Gabriel Monteiro";-;-;-;-
"351660 Gália";2;2;2;-
"351670 Garça";3;2;3;4
"351680 Gastão Vidigal";-;-;-;-
"351685 Gavião Peixoto";-;-;-;-
"351690 General Salgado";-;-;-;2
"351700 Getulina";-;-;-;4
"351710 Glicério";-;-;-;-
"351720 Guaiçara";-;-;-;-
"351730 Guaimbê";-;-;-;-
"351740 Guaíra";2;3;3;3
"351750 Guapiaçu";-;5;5;-
"351760 Guapiara";1;-;-;5
"351770 Guará";-;-;-;-
"351780 Guaraçaí";-;-;-;-
"351790 Guaraci";3;4;3;-
"351800 Guarani d'Oeste";-;-;-;-
"351810 Guarantã";-;-;-;15
"351820 Guararapes";1;4;1;5
"351830 Guararema";5;3;2;-
"351840 Guaratinguetá";8;12;12;20
"351850 Guareí";-;-;-;-
"351860 Guariba";2;2;2;-
"351870 Guarujá";35;15;15;37
"351880 Guarulhos";67;49;45;107
"351885 Guatapará";-;-;-;-
"351890 Guzolândia";-;-;-;-
"351900 Herculândia";-;-;-;2
"351905 Holambra";-;-;-;2
"351907 Hortolândia";17;4;4;15
"351910 Iacanga";-;-;-;3
"351920 Iacri";-;-;-;-
"351925 Iaras";-;-;-;-
"351930 Ibaté";-;2;2;-
"351940 Ibirá";-;3;3;-
"351950 Ibirarema";-;-;-;14
"351960 Ibitinga";6;7;7;3
"351970 Ibiúna";5;4;4;-
"351980 Icém";3;3;3;-
"351990 Iepê";1;-;-;-
"352000 Igaraçu do Tietê";-;-;-;-
"352010 Igarapava";-;-;-;7
"352020 Igaratá";-;-;-;8
