"Município";"Equipamentos Existentes";"Equipamentos em Uso";"Estab c/ Equip SUS"
"350000 Município ignorado - SP";-;-;-
"410010 Abatiá";-;-;-
"410020 Adrianópolis";-;-;-
"410030 Agudos do Sul";3;3;2
"410040 Almirante Tamandaré";3;3;2
"410045 Altamira do Paraná";1;1;1
"412862 Alto Paraíso";-;-;-
"410060 Alto Paraná";-;-;-
"410070 Alto Piquiri";-;-;-
"410050 Altônia";1;1;1
"410080 Alvorada do Sul";1;1;1
"410090 Amaporã";-;-;-
"410100 Ampére";-;-;-
"410105 Anahy";-;-;-
"410110 Andirá";-;-;-
"410115 Ângulo";-;-;-
"410120 Antonina";-;-;-
"410130 Antônio Olinto";-;-;-
"410140 Apucarana";35;34;4
"410150 Arapongas";78;64;4
"410160 Arapoti";1;1;1
"410165 Arapuã";-;-;-
"410170 Araruna";1;1;1
"410180 Araucária";28;20;2
"410185 Ariranha do Ivaí";2;2;1
"410190 Assaí";-;-;-
"410200 Assis Chateaubriand";15;15;1
"410210 Astorga";2;2;1
"410220 Atalaia";-;-;-
"410230 Balsa Nova";1;1;1
"410240 Bandeirantes";6;6;1
"410250 Barbosa Ferraz";7;7;2
"410270 Barra do Jacaré";-;-;-
"410260 Barracão";-;-;-
"410275 Bela Vista da Caroba";-;-;-
"410280 Bela Vista do Paraíso";-;-;-
"410290 Bituruna";2;2;1
"410300 Boa Esperança";-;-;-
"410302 Boa Esperança do Iguaçu";-;-;-
"410304 Boa Ventura de São Roque";2;2;1
"410305 Boa Vista da Aparecida";1;1;1
"410310 Bocaiúva do Sul";2;2;2
"410315 Bom Jesus do Sul";3;3;1
"410320 Bom Sucesso";1;-;1
"410322 Bom Sucesso do Sul";-;-;-
"410330 Borrazópolis";-;-;-
"410335 Braganey";-;-;-
"410337 Brasilândia do Sul";-;-;-
"410340 Cafeara";-;-;-
"410345 Cafelândia";-;-;-
"410347 Cafezal do Sul";-;-;-
"410350 Califórnia";-;-;-
"410360 Cambará";3;3;2
"410370 Cambé";13;13;2
"410380 Cambira";-;-;-
"410390 Campina da Lagoa";-;-;-
"410395 Campina do Simão";-;-;-
"410400 Campina Grande do Sul";51;51;1
"410405 Campo Bonito";-;-;-
"410410 Campo do Tenente";-;-;-
"410420 Campo Largo";235;232;5
"410425 Campo Magro";-;-;-
"410430 Campo Mourão";44;44;6
"410440 Cândido de Abreu";-;-;-
"410442 Candói";-;-;-
"410445 Cantagalo";-;-;-
"410450 Capanema";-;-;-
"410460 Capitão Leônidas Marques";-;-;-
"410465 Carambeí";-;-;-
"410470 Carlópolis";-;-;-
"410480 Cascavel";149;132;18
"410490 Castro";12;8;2
"410500 Catanduvas";-;-;-
"410510 Centenário do Sul";2;-;1
"410520 Cerro Azul";-;-;-
"410530 Céu Azul";-;-;-
"410540 Chopinzinho";2;2;2
"410550 Cianorte";23;22;6
"410560 Cidade Gaúcha";1;1;1
"410570 Clevelândia";2;2;2
"410580 Colombo";12;11;4
"410590 Colorado";2;2;1
"410600 Congonhinhas";-;-;-
"410610 Conselheiro Mairinck";1;1;1
"410620 Contenda";2;2;1
"410630 Corbélia";5;1;1
"410640 Cornélio Procópio";35;35;4
"410645 Coronel Domingos Soares";-;-;-
"410650 Coronel Vivida";2;2;2
"410655 Corumbataí do Sul";-;-;-
"410680 Cruz Machado";2;2;1
"410657 Cruzeiro do Iguaçu";-;-;-
"410660 Cruzeiro do Oeste";-;-;-
"410670 Cruzeiro do Sul";-;-;-
"410685 Cruzmaltina";-;-;-
"410690 Curitiba";1204;1123;47
"410700 Curiúva";-;-;-
"410715 Diamante D'Oeste";-;-;-
"410710 Diamante do Norte";-;-;-
"410712 Diamante do Sul";-;-;-
"410720 Dois Vizinhos";5;5;1
"410725 Douradina";-;-;-
"410730 Doutor Camargo";-;-;-
"412863 Doutor Ulysses";-;-;-
"410740 Enéas Marques";-;-;-
"410750 Engenheiro Beltrão";-;-;-
"410753 Entre Rios do Oeste";-;-;-
"410752 Esperança Nova";-;-;-
"410754 Espigão Alto do Iguaçu";-;-;-
"410755 Farol";-;-;-
"410760 Faxinal";1;1;1
"410765 Fazenda Rio Grande";3;3;2
"410770 Fênix";-;-;-
"410773 Fernandes Pinheiro";-;-;-
"410775 Figueira";-;-;-
"410785 Flor da Serra do Sul";-;-;-
"410780 Floraí";1;-;1
"410790 Floresta";-;-;-
"410800 Florestópolis";2;2;1
"410810 Flórida";-;-;-
"410820 Formosa do Oeste";-;-;-
"410830 Foz do Iguaçu";147;137;13
"410845 Foz do Jordão";1;1;1
"410832 Francisco Alves";-;-;-
"410840 Francisco Beltrão";52;52;5
"410850 General Carneiro";-;-;-
"410855 Godoy Moreira";-;-;-
"410860 Goioerê";5;5;2
"410865 Goioxim";-;-;-
"410870 Grandes Rios";-;-;-
"410880 Guaíra";6;6;4
"410890 Guairaçá";-;-;-
"410895 Guamiranga";-;-;-
"410900 Guapirama";-;-;-
"410910 Guaporema";-;-;-
"410920 Guaraci";-;-;-
"410930 Guaraniaçu";3;3;1
"410940 Guarapuava";84;76;9
"410950 Guaraqueçaba";-;-;-
"410960 Guaratuba";3;3;1
"410965 Honório Serpa";-;-;-
"410970 Ibaiti";2;2;2
"410975 Ibema";-;-;-
"410980 Ibiporã";8;6;2
"410990 Icaraíma";-;-;-
"411000 Iguaraçu";-;-;-
"411005 Iguatu";-;-;-
"411007 Imbaú";-;-;-
"411010 Imbituva";-;-;-
"411020 Inácio Martins";1;1;1
"411030 Inajá";-;-;-
"411040 Indianópolis";-;-;-
"411050 Ipiranga";1;1;1
"411060 Iporã";1;1;1
"411065 Iracema do Oeste";-;-;-
"411070 Irati";33;31;2
"411080 Iretama";3;3;1
"411090 Itaguajé";-;-;-
"411095 Itaipulândia";1;1;1
"411100 Itambaracá";-;-;-
"411110 Itambé";2;2;1
"411120 Itapejara d'Oeste";-;-;-
"411125 Itaperuçu";2;1;2
"411130 Itaúna do Sul";-;-;-
"411140 Ivaí";4;4;1
"411150 Ivaiporã";28;28;3
"411155 Ivaté";-;-;-
"411160 Ivatuba";-;-;-
"411170 Jaboti";1;1;1
"411180 Jacarezinho";25;17;1
"411190 Jaguapitã";-;-;-
"411200 Jaguariaíva";3;3;2
"411210 Jandaia do Sul";1;1;1
"411220 Janiópolis";-;-;-
"411230 Japira";-;-;-
"411240 Japurá";1;1;1
"411250 Jardim Alegre";-;-;-
"411260 Jardim Olinda";-;-;-
"411270 Jataizinho";-;-;-
"411275 Jesuítas";1;1;1
"411280 Joaquim Távora";1;1;1
"411290 Jundiaí do Sul";-;-;-
"411295 Juranda";-;-;-
"411300 Jussara";-;-;-
"411310 Kaloré";1;1;1
"411320 Lapa";7;7;3
"411325 Laranjal";-;-;-
"411330 Laranjeiras do Sul";2;2;2
"411340 Leópolis";1;-;-
"411342 Lidianópolis";-;-;-
"411345 Lindoeste";-;-;-
"411350 Loanda";4;2;2
"411360 Lobato";-;-;-
"411370 Londrina";358;346;11
"411373 Luiziana";-;-;-
"411375 Lunardelli";-;-;-
"411380 Lupionópolis";1;1;1
"411390 Mallet";1;1;1
"411400 Mamborê";1;1;-
"411410 Mandaguaçu";-;-;-
"411420 Mandaguari";4;3;1
"411430 Mandirituba";1;1;1
"411435 Manfrinópolis";-;-;-
"411440 Mangueirinha";1;1;1
"411450 Manoel Ribas";-;-;-
"411460 Marechal Cândido Rondon";8;8;1
"411470 Maria Helena";-;-;-
"411480 Marialva";1;1;1
"411490 Marilândia do Sul";-;-;-
"411500 Marilena";-;-;-
"411510 Mariluz";-;-;-
"411520 Maringá";307;297;18
"411530 Mariópolis";-;-;-
"411535 Maripá";2;2;1
"411540 Marmeleiro";-;-;-
"411545 Marquinho";-;-;-
"411550 Marumbi";1;-;1
"411560 Matelândia";1;1;1
"411570 Matinhos";4;4;2
"411573 Mato Rico";-;-;-
"411575 Mauá da Serra";1;1;1
"411580 Medianeira";21;21;4
"411585 Mercedes";1;1;1
"411590 Mirador";-;-;-
"411600 Miraselva";1;1;1
"411605 Missal";-;-;-
"411610 Moreira Sales";2;2;1
"411620 Morretes";1;1;1
"411630 Munhoz de Melo";-;-;-
"411640 Nossa Senhora das Graças";-;-;-
"411650 Nova Aliança do Ivaí";-;-;-
"411660 Nova América da Colina";-;-;-
"411670 Nova Aurora";6;6;1
"411680 Nova Cantu";-;-;-
"411690 Nova Esperança";5;5;1
"411695 Nova Esperança do Sudoeste";-;-;-
"411700 Nova Fátima";-;-;-
"411705 Nova Laranjeiras";1;1;1
"411710 Nova Londrina";1;1;1
"411720 Nova Olímpia";1;-;-
"411725 Nova Prata do Iguaçu";-;-;-
"411721 Nova Santa Bárbara";-;-;-
"411722 Nova Santa Rosa";1;1;1
"411727 Nova Tebas";-;-;-
"411729 Novo Itacolomi";-;-;-
"411730 Ortigueira";1;1;-
"411740 Ourizona";-;-;-
"411745 Ouro Verde do Oeste";-;-;-
"411750 Paiçandu";-;-;-
"411760 Palmas";9;9;3
"411770 Palmeira";7;7;2
"411780 Palmital";-;-;-
"411790 Palotina";8;8;1
"411800 Paraíso do Norte";1;1;1
"411810 Paranacity";-;-;-
"411820 Paranaguá";29;20;2
"411830 Paranapoema";-;-;-
"411840 Paranavaí";10;10;2
"411845 Pato Bragado";1;1;1
"411850 Pato Branco";39;38;9
"411860 Paula Freitas";-;-;-
"411870 Paulo Frontin";-;-;-
"411880 Peabiru";-;-;-
"411885 Perobal";-;-;-
"411890 Pérola";2;2;1
"411900 Pérola d'Oeste";-;-;-
"411910 Piên";2;2;1
"411915 Pinhais";26;24;3
"411925 Pinhal de São Bento";-;-;-
"411920 Pinhalão";-;-;-
"411930 Pinhão";-;-;-
"411940 Piraí do Sul";1;1;1
"411950 Piraquara";2;-;2
"411960 Pitanga";2;1;1
"411965 Pitangueiras";-;-;-
"411970 Planaltina do Paraná";-;-;-
"411980 Planalto";-;-;-
"411990 Ponta Grossa";150;136;10
"411995 Pontal do Paraná";2;1;1
"412000 Porecatu";-;-;-
"412010 Porto Amazonas";-;-;-
"412015 Porto Barreiro";-;-;-
"412020 Porto Rico";-;-;-
"412030 Porto Vitória";-;-;-
"412033 Prado Ferreira";-;-;-
"412035 Pranchita";4;4;1
"412040 Presidente Castelo Branco";-;-;-
"412050 Primeiro de Maio";-;-;-
"412060 Prudentópolis";2;1;1
"412065 Quarto Centenário";-;-;-
"412070 Quatiguá";-;-;-
"412080 Quatro Barras";-;-;-
"412085 Quatro Pontes";-;-;-
"412090 Quedas do Iguaçu";1;1;1
"412100 Querência do Norte";-;-;-
"412110 Quinta do Sol";-;-;-
"412120 Quitandinha";1;1;1
"412125 Ramilândia";-;-;-
"412130 Rancho Alegre";-;-;-
"412135 Rancho Alegre D'Oeste";-;-;-
"412140 Realeza";4;3;2
"412150 Rebouças";1;1;1
"412160 Renascença";-;-;-
"412170 Reserva";1;1;1
"412175 Reserva do Iguaçu";-;-;-
"412180 Ribeirão Claro";1;1;1
"412190 Ribeirão do Pinhal";-;-;-
"412200 Rio Azul";4;4;1
"412210 Rio Bom";1;-;1
"412215 Rio Bonito do Iguaçu";-;-;-
"412217 Rio Branco do Ivaí";-;-;-
"412220 Rio Branco do Sul";1;1;1
"412230 Rio Negro";2;2;2
"412240 Rolândia";4;4;1
"412250 Roncador";-;-;-
"412260 Rondon";1;1;1
"412265 Rosário do Ivaí";-;-;-
"412270 Sabáudia";-;-;-
"412280 Salgado Filho";-;-;-
"412290 Salto do Itararé";1;1;1
"412300 Salto do Lontra";-;-;-
"412310 Santa Amélia";1;-;-
"412320 Santa Cecília do Pavão";-;-;-
"412330 Santa Cruz de Monte Castelo";-;-;-
"412340 Santa Fé";1;1;1
"412350 Santa Helena";2;2;1
"412360 Santa Inês";-;-;-
"412370 Santa Isabel do Ivaí";3;3;1
"412380 Santa Izabel do Oeste";-;-;-
"412382 Santa Lúcia";-;-;-
"412385 Santa Maria do Oeste";-;-;-
"412390 Santa Mariana";3;3;1
"412395 Santa Mônica";-;-;-
"412402 Santa Tereza do Oeste";-;-;-
"412405 Santa Terezinha de Itaipu";-;-;-
"412400 Santana do Itararé";10;10;1
"412410 Santo Antônio da Platina";8;8;2
"412420 Santo Antônio do Caiuá";-;-;-
"412430 Santo Antônio do Paraíso";-;-;-
"412440 Santo Antônio do Sudoeste";3;2;3
"412450 Santo Inácio";-;-;-
"412460 São Carlos do Ivaí";1;1;1
"412470 São Jerônimo da Serra";-;-;-
"412480 São João";-;-;-
"412490 São João do Caiuá";-;-;-
"412500 São João do Ivaí";-;-;-
"412510 São João do Triunfo";-;-;-
"412520 São Jorge d'Oeste";-;-;-
"412530 São Jorge do Ivaí";-;-;-
"412535 São Jorge do Patrocínio";1;1;1
"412540 São José da Boa Vista";-;-;-
"412545 São José das Palmeiras";-;-;-
"412550 São José dos Pinhais";34;32;6
"412555 São Manoel do Paraná";-;-;-
"412560 São Mateus do Sul";3;3;2
"412570 São Miguel do Iguaçu";38;38;2
"412575 São Pedro do Iguaçu";-;-;-
"412580 São Pedro do Ivaí";-;-;-
"412590 São Pedro do Paraná";-;-;-
"412600 São Sebastião da Amoreira";-;-;-
"412610 São Tomé";1;1;1
"412620 Sapopema";-;-;-
"412625 Sarandi";29;29;2
"412627 Saudade do Iguaçu";-;-;-
"412630 Sengés";-;-;-
"412635 Serranópolis do Iguaçu";-;-;-
"412640 Sertaneja";1;1;1
"412650 Sertanópolis";2;2;1
"412660 Siqueira Campos";2;2;1
"412665 Sulina";-;-;-
"412667 Tamarana";-;-;-
"412670 Tamboara";-;-;-
"412680 Tapejara";1;1;1
"412690 Tapira";-;-;-
"412700 Teixeira Soares";1;1;1
"412710 Telêmaco Borba";10;10;3
"412720 Terra Boa";7;7;2
"412730 Terra Rica";-;-;-
"412740 Terra Roxa";5;5;2
"412750 Tibagi";1;1;1
"412760 Tijucas do Sul";1;1;1
"412770 Toledo";22;22;3
"412780 Tomazina";-;-;-
"412785 Três Barras do Paraná";-;-;-
"412788 Tunas do Paraná";1;-;1
"412790 Tuneiras do Oeste";-;-;-
"412795 Tupãssi";1;1;1
"412796 Turvo";-;-;-
"412800 Ubiratã";6;6;2
"412810 Umuarama";59;58;6
"412820 União da Vitória";26;26;3
"412830 Uniflor";-;-;-
"412840 Uraí";-;-;-
"412853 Ventania";1;1;1
"412855 Vera Cruz do Oeste";-;-;-
"412860 Verê";-;-;-
"412865 Virmond";-;-;-
"412870 Vitorino";-;-;-
"412850 Wenceslau Braz";-;-;-
"412880 Xambrê";-;-;-
"410000 Município ignorado - PR";-;-;-
"420005 Abdon Batista";-;-;-
"420010 Abelardo Luz";1;1;1
"420020 Agrolândia";-;-;-
"420030 Agronômica";-;-;-
"420040 Água Doce";1;1;1
"420050 Águas de Chapecó";-;-;-
"420055 Águas Frias";-;-;-
"420060 Águas Mornas";-;-;-
"420070 Alfredo Wagner";-;-;-
"420075 Alto Bela Vista";-;-;-
"420080 Anchieta";-;-;-
"420090 Angelina";-;-;-
"420100 Anita Garibaldi";-;-;-
"420110 Anitápolis";1;1;1
"420120 Antônio Carlos";-;-;-
"420125 Apiúna";-;-;-
"420127 Arabutã";1;1;1
"420130 Araquari";2;2;1
"420140 Araranguá";17;17;2
"420150 Armazém";-;-;-
"420160 Arroio Trinta";-;-;-
"420165 Arvoredo";-;-;-
"420170 Ascurra";3;3;1
"420180 Atalanta";-;-;-
"420190 Aurora";-;-;-
"420195 Balneário Arroio do Silva";-;-;-
"420205 Balneário Barra do Sul";-;-;-
"420200 Balneário Camboriú";27;27;3
"420207 Balneário Gaivota";-;-;-
"421280 Balneário Piçarras";3;1;1
"422000 Balneário Rincão";1;1;1
"420208 Bandeirante";-;-;-
"420209 Barra Bonita";-;-;-
"420210 Barra Velha";-;-;-
"420213 Bela Vista do Toldo";-;-;-
"420215 Belmonte";-;-;-
"420220 Benedito Novo";-;-;-
"420230 Biguaçu";11;11;1
"420240 Blumenau";151;150;7
"420243 Bocaina do Sul";-;-;-
"420250 Bom Jardim da Serra";-;-;-
"420253 Bom Jesus";-;-;-
"420257 Bom Jesus do Oeste";-;-;-
"420260 Bom Retiro";1;1;1
"420245 Bombinhas";1;1;1
"420270 Botuverá";-;-;-
"420280 Braço do Norte";3;3;1
"420285 Braço do Trombudo";-;-;-
"420287 Brunópolis";-;-;-
"420290 Brusque";18;15;5
"420300 Caçador";13;13;2
"420310 Caibi";-;-;-
"420315 Calmon";-;-;-
"420320 Camboriú";3;3;1
"420330 Campo Alegre";-;-;-
"420340 Campo Belo do Sul";1;1;1
"420350 Campo Erê";1;1;1
"420360 Campos Novos";4;4;1
"420370 Canelinha";-;-;-
"420380 Canoinhas";10;10;2
"420325 Capão Alto";-;-;-
"420390 Capinzal";3;1;1
"420395 Capivari de Baixo";2;2;1
"420400 Catanduvas";2;2;1
"420410 Caxambu do Sul";-;-;-
"420415 Celso Ramos";-;-;-
"420417 Cerro Negro";-;-;-
"420419 Chapadão do Lageado";-;-;-
"420420 Chapecó";95;94;8
"420425 Cocal do Sul";-;-;-
"420430 Concórdia";35;29;1
"420435 Cordilheira Alta";-;-;-
"420440 Coronel Freitas";2;2;1
"420445 Coronel Martins";-;-;-
"420455 Correia Pinto";-;-;-
"420450 Corupá";11;11;2
"420460 Criciúma";127;109;8
"420470 Cunha Porã";-;-;-
"420475 Cunhataí";-;-;-
"420480 Curitibanos";18;18;2
"420490 Descanso";-;-;-
"420500 Dionísio Cerqueira";6;6;1
"420510 Dona Emma";-;-;-
"420515 Doutor Pedrinho";-;-;-
"420517 Entre Rios";-;-;-
"420519 Ermo";-;-;-
"420520 Erval Velho";-;-;-
"420530 Faxinal dos Guedes";-;-;-
"420535 Flor do Sertão";-;-;-
"420540 Florianópolis";382;358;16
"420543 Formosa do Sul";-;-;-
"420545 Forquilhinha";-;-;-
"420550 Fraiburgo";6;6;3
"420555 Frei Rogério";-;-;-
"420560 Galvão";-;-;-
"420570 Garopaba";-;-;-
"420580 Garuva";-;-;-
"420590 Gaspar";2;2;1
"420600 Governador Celso Ramos";-;-;-
"420610 Grão Pará";-;-;-
"420620 Gravatal";-;-;-
"420630 Guabiruba";-;-;-
"420640 Guaraciaba";3;3;1
"420650 Guaramirim";4;4;1
"420660 Guarujá do Sul";-;-;-
"420665 Guatambú";-;-;-
"420670 Herval d'Oeste";2;2;1
"420675 Ibiam";-;-;-
"420680 Ibicaré";-;-;-
"420690 Ibirama";17;17;2
"420700 Içara";15;15;1
"420710 Ilhota";-;-;-
"420720 Imaruí";-;-;-
"420730 Imbituba";6;6;1
"420740 Imbuia";-;-;-
"420750 Indaial";7;7;1
"420757 Iomerê";-;-;-
"420760 Ipira";2;2;2
"420765 Iporã do Oeste";1;1;1
"420768 Ipuaçu";-;-;-
"420770 Ipumirim";3;3;2
"420775 Iraceminha";-;-;-
"420780 Irani";2;2;2
"420785 Irati";-;-;-
"420790 Irineópolis";-;-;-
"420800 Itá";1;1;1
"420810 Itaiópolis";-;-;-
"420820 Itajaí";76;76;8
"420830 Itapema";2;2;-
"420840 Itapiranga";1;1;1
"420845 Itapoá";-;-;-
"420850 Ituporanga";12;12;2
"420860 Jaborá";-;-;-
"420870 Jacinto Machado";1;1;1
"420880 Jaguaruna";1;1;1
"420890 Jaraguá do Sul";84;84;4
"420895 Jardinópolis";-;-;-
"420900 Joaçaba";34;33;8
"420910 Joinville";240;228;9
"420915 José Boiteux";-;-;-
"420917 Jupiá";-;-;-
"420920 Lacerdópolis";-;-;-
"420930 Lages";69;62;5
"420940 Laguna";16;16;1
"420945 Lajeado Grande";-;-;-
"420950 Laurentino";-;-;-
"420960 Lauro Muller";1;1;1
"420970 Lebon Régis";1;1;1
"420980 Leoberto Leal";-;-;-
"420985 Lindóia do Sul";-;-;-
"420990 Lontras";-;-;-
"421000 Luiz Alves";1;1;1
"421003 Luzerna";-;-;-
"421005 Macieira";-;-;-
"421010 Mafra";21;21;4
"421020 Major Gercino";-;-;-
"421030 Major Vieira";1;1;1
"421040 Maracajá";-;-;-
"421050 Maravilha";4;4;2
"421055 Marema";-;-;-
"421060 Massaranduba";-;-;-
"421070 Matos Costa";-;-;-
"421080 Meleiro";-;-;-
"421085 Mirim Doce";-;-;-
"421090 Modelo";3;3;2
"421100 Mondaí";1;1;1
"421105 Monte Carlo";-;-;-
"421110 Monte Castelo";-;-;-
"421120 Morro da Fumaça";4;4;2
"421125 Morro Grande";-;-;-
"421130 Navegantes";3;3;2
"421140 Nova Erechim";-;-;-
"421145 Nova Itaberaba";-;-;-
"421150 Nova Trento";2;2;2
"421160 Nova Veneza";1;1;1
"421165 Novo Horizonte";-;-;-
"421170 Orleans";3;3;1
"421175 Otacílio Costa";3;3;1
"421180 Ouro";-;-;-
"421185 Ouro Verde";-;-;-
"421187 Paial";-;-;-
"421189 Painel";-;-;-
"421190 Palhoça";6;6;3
"421200 Palma Sola";-;-;-
"421205 Palmeira";-;-;-
"421210 Palmitos";-;-;-
"421220 Papanduva";2;2;1
"421223 Paraíso";-;-;-
"421225 Passo de Torres";-;-;-
"421227 Passos Maia";-;-;-
"421230 Paulo Lopes";-;-;-
"421240 Pedras Grandes";-;-;-
"421250 Penha";1;1;1
"421260 Peritiba";1;1;1
"421265 Pescaria Brava";-;-;-
"421270 Petrolândia";-;-;-
"421290 Pinhalzinho";4;4;1
"421300 Pinheiro Preto";-;-;-
"421310 Piratuba";-;-;-
"421315 Planalto Alegre";-;-;-
"421320 Pomerode";1;1;1
"421330 Ponte Alta";-;-;-
"421335 Ponte Alta do Norte";-;-;-
"421340 Ponte Serrada";2;2;1
"421350 Porto Belo";-;-;-
"421360 Porto União";18;18;1
"421370 Pouso Redondo";-;-;-
"421380 Praia Grande";2;2;1
"421390 Presidente Castello Branco";-;-;-
"421400 Presidente Getúlio";1;1;1
"421410 Presidente Nereu";-;-;-
"421415 Princesa";-;-;-
"421420 Quilombo";2;2;2
"421430 Rancho Queimado";-;-;-
"421440 Rio das Antas";-;-;-
"421450 Rio do Campo";-;-;-
"421460 Rio do Oeste";-;-;-
"421480 Rio do Sul";37;37;5
"421470 Rio dos Cedros";1;1;1
"421490 Rio Fortuna";1;1;1
"421500 Rio Negrinho";6;5;2
"421505 Rio Rufino";-;-;-
"421507 Riqueza";-;-;-
"421510 Rodeio";-;-;-
"421520 Romelândia";-;-;-
"421530 Salete";3;3;1
"421535 Saltinho";-;-;-
"421540 Salto Veloso";-;-;-
"421545 Sangão";-;-;-
"421550 Santa Cecília";3;3;1
"421555 Santa Helena";-;-;-
"421560 Santa Rosa de Lima";-;-;-
"421565 Santa Rosa do Sul";-;-;-
"421567 Santa Terezinha";-;-;-
"421568 Santa Terezinha do Progresso";-;-;-
"421569 Santiago do Sul";-;-;-
"421570 Santo Amaro da Imperatriz";2;2;1
"421580 São Bento do Sul";20;20;2
"421575 São Bernardino";4;4;1
"421590 São Bonifácio";-;-;-
"421600 São Carlos";2;2;1
"421605 São Cristovão do Sul";-;-;-
"421610 São Domingos";-;-;-
"421620 São Francisco do Sul";8;8;4
"421630 São João Batista";2;2;2
"421635 São João do Itaperiú";-;-;-
"421625 São João do Oeste";-;-;-
"421640 São João do Sul";-;-;-
"421650 São Joaquim";-;-;-
"421660 São José";177;177;8
"421670 São José do Cedro";-;-;-
"421680 São José do Cerrito";-;-;-
"421690 São Lourenço do Oeste";3;3;3
"421700 São Ludgero";-;-;-
"421710 São Martinho";1;1;1
"421715 São Miguel da Boa Vista";-;-;-
"421720 São Miguel do Oeste";17;17;3
"421725 São Pedro de Alcântara";-;-;-
"421730 Saudades";-;-;-
"421740 Schroeder";1;1;1
"421750 Seara";1;1;1
"421755 Serra Alta";-;-;-
"421760 Siderópolis";-;-;-
"421770 Sombrio";1;1;1
"421775 Sul Brasil";-;-;-
"421780 Taió";-;-;-
"421790 Tangará";5;5;2
"421795 Tigrinhos";-;-;-
"421800 Tijucas";5;5;1
"421810 Timbé do Sul";1;1;1
"421820 Timbó";3;3;2
"421825 Timbó Grande";-;-;-
"421830 Três Barras";1;1;1
"421835 Treviso";-;-;-
"421840 Treze de Maio";2;2;1
"421850 Treze Tílias";-;-;-
"421860 Trombudo Central";3;3;1
"421870 Tubarão";98;98;3
"421875 Tunápolis";-;-;-
"421880 Turvo";-;-;-
"421885 União do Oeste";-;-;-
"421890 Urubici";1;1;1
"421895 Urupema";-;-;-
"421900 Urussanga";5;5;2
"421910 Vargeão";-;-;-
"421915 Vargem";-;-;-
"421917 Vargem Bonita";-;-;-
"421920 Vidal Ramos";-;-;-
"421930 Videira";21;21;2
"421935 Vitor Meireles";-;-;-
"421940 Witmarsum";1;1;1
"421950 Xanxerê";26;26;2
"421960 Xavantina";-;-;-
"421970 Xaxim";4;4;2
"421985 Zortéa";-;-;-
"420000 Município ignorado - SC";-;-;-
"430003 Aceguá";1;1;1
"430005 Água Santa";-;-;-
"430010 Agudo";5;5;3
"430020 Ajuricaba";2;2;1
"430030 Alecrim";2;2;1
"430040 Alegrete";23;23;3
"430045 Alegria";-;-;-
"430047 Almirante Tamandaré do Sul";-;-;-
"430050 Alpestre";1;1;1
"430055 Alto Alegre";-;-;-
"430057 Alto Feliz";-;-;-
"430060 Alvorada";9;9;2
"430063 Amaral Ferrador";-;-;-
"430064 Ametista do Sul";1;1;1
"430066 André da Rocha";-;-;-
"430070 Anta Gorda";1;1;1
"430080 Antônio Prado";2;2;1
"430085 Arambaré";-;-;-
"430087 Araricá";-;-;-
"430090 Aratiba";-;-;-
"430100 Arroio do Meio";4;4;1
"430107 Arroio do Padre";-;-;-
"430105 Arroio do Sal";-;-;-
"430120 Arroio do Tigre";2;1;1
"430110 Arroio dos Ratos";-;-;-
"430130 Arroio Grande";2;2;1
"430140 Arvorezinha";2;2;1
"430150 Augusto Pestana";-;-;-
"430155 Áurea";-;-;-
"430160 Bagé";48;46;5
"430163 Balneário Pinhal";3;3;2
"430165 Barão";1;1;1
"430170 Barão de Cotegipe";-;-;-
"430175 Barão do Triunfo";-;-;-
"430185 Barra do Guarita";-;-;-
"430187 Barra do Quaraí";1;1;1
"430190 Barra do Ribeiro";-;-;-
"430192 Barra do Rio Azul";-;-;-
"430195 Barra Funda";-;-;-
"430180 Barracão";-;-;-
"430200 Barros Cassal";-;-;-
"430205 Benjamin Constant do Sul";-;-;-
"430210 Bento Gonçalves";66;66;2
"430215 Boa Vista das Missões";-;-;-
"430220 Boa Vista do Buricá";2;2;1
"430222 Boa Vista do Cadeado";-;-;-
"430223 Boa Vista do Incra";-;-;-
"430225 Boa Vista do Sul";-;-;-
"430230 Bom Jesus";-;-;-
"430235 Bom Princípio";2;2;1
"430237 Bom Progresso";-;-;-
"430240 Bom Retiro do Sul";-;-;-
"430245 Boqueirão do Leão";-;-;-
"430250 Bossoroca";-;-;-
"430258 Bozano";-;-;-
"430260 Braga";-;-;-
"430265 Brochier";-;-;-
"430270 Butiá";2;2;1
"430280 Caçapava do Sul";3;3;1
"430290 Cacequi";-;-;-
"430300 Cachoeira do Sul";32;32;3
"430310 Cachoeirinha";9;8;3
"430320 Cacique Doble";1;1;1
"430330 Caibaté";2;2;2
"430340 Caiçara";-;-;-
"430350 Camaquã";10;10;2
"430355 Camargo";-;-;-
"430360 Cambará do Sul";1;1;1
"430367 Campestre da Serra";-;-;-
"430370 Campina das Missões";2;2;1
"430380 Campinas do Sul";2;2;1
"430390 Campo Bom";10;10;2
"430400 Campo Novo";-;-;-
"430410 Campos Borges";1;1;1
"430420 Candelária";1;1;1
"430430 Cândido Godói";2;2;1
"430435 Candiota";2;2;1
"430440 Canela";6;5;2
"430450 Canguçu";15;15;2
"430460 Canoas";99;79;5
"430461 Canudos do Vale";-;-;-
"430462 Capão Bonito do Sul";-;-;-
"430463 Capão da Canoa";11;11;1
"430465 Capão do Cipó";-;-;-
