"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"314795 Patis";-;-;-;1
"314800 Patos de Minas";-;5;9;36
"314810 Patrocínio";6;10;7;26
"314820 Patrocínio do Muriaé";-;-;-;-
"314830 Paula Cândido";-;-;-;2
"314840 Paulistas";-;-;-;-
"314850 Pavão";-;-;-;-
"314860 Peçanha";-;-;-;-
"314870 Pedra Azul";-;-;-;-
"314875 Pedra Bonita";-;-;-;2
"314880 Pedra do Anta";-;-;-;2
"314890 Pedra do Indaiá";-;2;4;5
"314900 Pedra Dourada";-;-;-;-
"314910 Pedralva";-;-;-;-
"314915 Pedras de Maria da Cruz";2;-;-;6
"314920 Pedrinópolis";2;4;4;-
"314930 Pedro Leopoldo";1;2;2;7
"314940 Pedro Teixeira";-;-;-;2
"314950 Pequeri";-;-;-;5
"314960 Pequi";-;1;1;2
"314970 Perdigão";-;-;-;-
"314980 Perdizes";-;-;-;3
"314990 Perdões";-;-;-;2
"314995 Periquito";-;-;-;2
"315000 Pescador";-;-;-;4
"315010 Piau";-;-;-;1
"315015 Piedade de Caratinga";-;-;-;8
"315020 Piedade de Ponte Nova";-;4;4;3
"315030 Piedade do Rio Grande";-;-;-;-
"315040 Piedade dos Gerais";-;6;4;-
"315050 Pimenta";-;3;2;-
"315053 Pingo-d'Água";-;-;-;8
"315057 Pintópolis";-;-;-;1
"315060 Piracema";-;-;-;-
"315070 Pirajuba";-;-;-;2
"315080 Piranga";-;-;-;-
"315090 Piranguçu";-;6;6;1
"315100 Piranguinho";-;-;-;2
"315110 Pirapetinga";-;-;-;-
"315120 Pirapora";4;-;8;13
"315130 Piraúba";-;-;-;3
"315140 Pitangui";-;-;-;9
"315150 Piumhi";-;-;-;5
"315160 Planura";-;-;-;2
"315170 Poço Fundo";-;2;2;-
"315180 Poços de Caldas";12;23;25;44
"315190 Pocrane";-;-;-;-
"315200 Pompéu";-;-;-;9
"315210 Ponte Nova";3;4;3;8
"315213 Ponto Chique";-;-;-;7
"315217 Ponto dos Volantes";-;-;-;6
"315220 Porteirinha";-;-;-;1
"315230 Porto Firme";-;-;-;7
"315240 Poté";-;-;-;-
"315250 Pouso Alegre";2;2;2;15
"315260 Pouso Alto";-;-;-;1
"315270 Prados";-;-;-;2
"315280 Prata";3;3;3;-
"315290 Pratápolis";-;-;-;6
"315300 Pratinha";-;-;-;1
"315310 Presidente Bernardes";-;-;-;3
"315320 Presidente Juscelino";-;-;-;2
"315330 Presidente Kubitschek";-;-;-;-
"315340 Presidente Olegário";2;2;2;5
"315360 Prudente de Morais";3;3;3;1
"315370 Quartel Geral";-;-;-;2
"315380 Queluzito";-;-;-;3
"315390 Raposos";-;-;-;2
"315400 Raul Soares";-;-;-;7
"315410 Recreio";-;-;-;1
"315415 Reduto";-;-;-;-
"315420 Resende Costa";-;-;-;-
"315430 Resplendor";-;-;-;8
"315440 Ressaquinha";-;-;-;7
"315445 Riachinho";3;3;2;2
"315450 Riacho dos Machados";-;-;-;2
"315460 Ribeirão das Neves";-;3;107;10
"315470 Ribeirão Vermelho";-;-;1;-
"315480 Rio Acima";-;-;-;4
"315490 Rio Casca";-;-;-;4
"315510 Rio do Prado";-;-;-;2
"315500 Rio Doce";-;-;-;4
"315520 Rio Espera";-;-;-;-
"315530 Rio Manso";-;-;-;4
"315540 Rio Novo";-;-;-;3
"315550 Rio Paranaíba";-;-;-;2
"315560 Rio Pardo de Minas";-;-;-;6
"315570 Rio Piracicaba";-;-;-;-
"315580 Rio Pomba";-;-;-;8
"315590 Rio Preto";-;-;-;2
"315600 Rio Vermelho";-;2;-;-
"315610 Ritápolis";-;3;3;-
"315620 Rochedo de Minas";-;-;-;2
"315630 Rodeiro";-;-;-;-
"315640 Romaria";-;-;-;3
"315645 Rosário da Limeira";-;-;-;2
"315650 Rubelita";3;3;3;8
"315660 Rubim";-;2;2;-
"315670 Sabará";-;-;-;5
"315680 Sabinópolis";-;-;-;-
"315690 Sacramento";1;1;-;6
"315700 Salinas";-;2;2;-
"315710 Salto da Divisa";-;-;-;-
"315720 Santa Bárbara";-;-;-;-
"315725 Santa Bárbara do Leste";-;3;3;-
"315727 Santa Bárbara do Monte Verde";-;-;-;3
"315730 Santa Bárbara do Tugúrio";-;-;-;2
"315733 Santa Cruz de Minas";-;-;-;-
"315737 Santa Cruz de Salinas";1;1;1;4
"315740 Santa Cruz do Escalvado";-;3;3;-
"315750 Santa Efigênia de Minas";-;2;2;-
"315760 Santa Fé de Minas";-;6;4;4
"315765 Santa Helena de Minas";-;2;2;-
"315770 Santa Juliana";-;-;-;1
"315780 Santa Luzia";-;-;-;2
"315790 Santa Margarida";-;5;5;-
"315800 Santa Maria de Itabira";-;-;-;-
"315810 Santa Maria do Salto";-;-;-;2
"315820 Santa Maria do Suaçuí";-;-;-;-
"315920 Santa Rita de Caldas";-;-;-;2
"315940 Santa Rita de Ibitipoca";-;-;-;2
"315930 Santa Rita de Jacutinga";-;-;-;2
"315935 Santa Rita de Minas";-;-;-;2
"315950 Santa Rita do Itueto";-;-;-;2
"315960 Santa Rita do Sapucaí";2;-;-;3
"315970 Santa Rosa da Serra";-;2;4;-
"315980 Santa Vitória";6;4;6;2
"315830 Santana da Vargem";-;-;2;3
"315840 Santana de Cataguases";-;-;-;2
"315850 Santana de Pirapama";2;4;3;-
"315860 Santana do Deserto";-;3;3;-
"315870 Santana do Garambéu";3;3;3;1
"315880 Santana do Jacaré";-;-;-;4
"315890 Santana do Manhuaçu";-;-;-;-
"315895 Santana do Paraíso";-;-;-;1
"315900 Santana do Riacho";-;-;-;8
"315910 Santana dos Montes";-;-;-;3
"315990 Santo Antônio do Amparo";-;-;-;-
"316000 Santo Antônio do Aventureiro";-;-;-;3
"316010 Santo Antônio do Grama";-;2;2;5
"316020 Santo Antônio do Itambé";-;-;-;1
"316030 Santo Antônio do Jacinto";-;-;-;2
"316040 Santo Antônio do Monte";5;6;6;8
"316045 Santo Antônio do Retiro";-;-;-;2
"316050 Santo Antônio do Rio Abaixo";-;-;-;-
"316060 Santo Hipólito";-;-;-;3
"316070 Santos Dumont";4;3;3;7
"316080 São Bento Abade";-;-;-;3
"316090 São Brás do Suaçuí";-;-;-;2
"316095 São Domingos das Dores";1;3;2;1
"316100 São Domingos do Prata";2;2;2;-
"316105 São Félix de Minas";-;-;-;4
"316110 São Francisco";-;5;5;4
"316120 São Francisco de Paula";-;-;-;2
"316130 São Francisco de Sales";-;-;-;-
"316140 São Francisco do Glória";-;-;-;-
"316150 São Geraldo";4;4;4;3
"316160 São Geraldo da Piedade";-;-;-;4
"316165 São Geraldo do Baixio";-;-;-;-
"316170 São Gonçalo do Abaeté";-;-;-;2
"316180 São Gonçalo do Pará";-;-;-;4
"316190 São Gonçalo do Rio Abaixo";2;4;4;3
"312550 São Gonçalo do Rio Preto";4;5;5;-
"316200 São Gonçalo do Sapucaí";-;-;-;3
"316210 São Gotardo";-;3;3;1
"316220 São João Batista do Glória";-;-;-;-
"316225 São João da Lagoa";-;2;2;-
"316230 São João da Mata";-;-;-;-
"316240 São João da Ponte";-;-;-;4
"316245 São João das Missões";-;-;-;8
"316250 São João del Rei";1;4;3;4
"316255 São João do Manhuaçu";-;-;-;-
"316257 São João do Manteninha";-;-;-;3
"316260 São João do Oriente";-;-;-;5
"316265 São João do Pacuí";-;-;-;-
"316270 São João do Paraíso";-;-;-;6
"316280 São João Evangelista";-;-;-;-
"316290 São João Nepomuceno";-;5;4;6
"316292 São Joaquim de Bicas";-;-;-;6
"316294 São José da Barra";2;2;2;-
"316295 São José da Lapa";2;4;4;-
"316300 São José da Safira";-;-;-;5
"316310 São José da Varginha";-;-;-;5
"316320 São José do Alegre";-;-;-;3
"316330 São José do Divino";4;4;5;-
"316340 São José do Goiabal";3;3;3;-
"316350 São José do Jacuri";-;-;-;6
"316360 São José do Mantimento";-;-;-;-
"316370 São Lourenço";2;7;8;5
"316380 São Miguel do Anta";-;3;3;-
"316390 São Pedro da União";-;-;-;-
"316410 São Pedro do Suaçuí";-;-;-;8
"316400 São Pedro dos Ferros";-;-;-;-
"316420 São Romão";-;-;-;2
"316430 São Roque de Minas";-;2;2;-
"316440 São Sebastião da Bela Vista";-;6;6;-
"316443 São Sebastião da Vargem Alegre";-;-;-;5
"316447 São Sebastião do Anta";-;-;-;-
"316450 São Sebastião do Maranhão";-;3;2;-
"316460 São Sebastião do Oeste";-;-;-;-
"316470 São Sebastião do Paraíso";1;3;3;10
"316480 São Sebastião do Rio Preto";-;-;-;5
"316490 São Sebastião do Rio Verde";-;-;-;-
"316520 São Thomé das Letras";-;3;3;-
"316500 São Tiago";1;1;1;-
"316510 São Tomás de Aquino";-;2;2;-
"316530 São Vicente de Minas";-;-;-;1
"316540 Sapucaí-Mirim";-;-;-;-
"316550 Sardoá";-;-;-;4
"316553 Sarzedo";1;2;2;6
"316556 Sem-Peixe";-;-;-;5
"316557 Senador Amaral";-;3;3;-
"316560 Senador Cortes";-;-;-;2
"316570 Senador Firmino";-;-;-;-
"316580 Senador José Bento";-;-;-;-
"316590 Senador Modestino Gonçalves";-;-;-;-
"316600 Senhora de Oliveira";2;4;4;-
"316610 Senhora do Porto";-;-;-;-
"316620 Senhora dos Remédios";-;3;3;4
"316630 Sericita";-;-;-;-
"316640 Seritinga";-;-;-;1
"316650 Serra Azul de Minas";-;6;6;-
"316660 Serra da Saudade";-;-;-;1
"316680 Serra do Salitre";2;2;2;-
"316670 Serra dos Aimorés";-;-;-;14
"316690 Serrania";-;-;-;-
"316695 Serranópolis de Minas";-;-;-;1
"316700 Serranos";-;-;-;-
"316710 Serro";-;-;-;5
"316720 Sete Lagoas";9;4;11;38
"316555 Setubinha";-;-;-;6
"316730 Silveirânia";-;-;-;4
"316740 Silvianópolis";-;-;-;-
"316750 Simão Pereira";-;-;-;2
"316760 Simonésia";-;-;-;1
"316770 Sobrália";-;-;-;-
"316780 Soledade de Minas";-;-;-;1
"316790 Tabuleiro";-;1;-;5
"316800 Taiobeiras";1;4;2;7
"316805 Taparuba";-;-;-;-
"316810 Tapira";-;-;-;1
"316820 Tapiraí";-;-;-;-
"316830 Taquaraçu de Minas";2;2;2;-
"316840 Tarumirim";-;-;-;2
"316850 Teixeiras";-;-;-;2
"316860 Teófilo Otoni";5;6;6;38
"316870 Timóteo";6;4;5;43
"316880 Tiradentes";-;-;-;-
"316890 Tiros";-;-;-;2
"316900 Tocantins";2;2;2;5
"316905 Tocos do Moji";-;-;-;1
"316910 Toledo";-;-;-;2
"316920 Tombos";-;18;-;-
"316930 Três Corações";3;3;3;5
"316935 Três Marias";-;-;-;2
"316940 Três Pontas";-;5;5;3
"316950 Tumiritinga";-;-;-;6
"316960 Tupaciguara";-;-;-;10
"316970 Turmalina";-;-;-;3
"316980 Turvolândia";-;-;-;1
"316990 Ubá";8;4;5;30
"317000 Ubaí";-;-;-;4
"317005 Ubaporanga";-;-;-;9
"317010 Uberaba";5;10;6;50
"317020 Uberlândia";6;12;11;114
"317030 Umburatiba";-;3;3;-
"317040 Unaí";6;7;24;63
"317043 União de Minas";-;2;2;-
"317047 Uruana de Minas";-;-;-;2
"317050 Urucânia";-;2;2;1
"317052 Urucuia";-;-;-;-
"317057 Vargem Alegre";-;-;-;5
"317060 Vargem Bonita";-;-;-;-
"317065 Vargem Grande do Rio Pardo";-;-;-;2
"317070 Varginha";1;-;4;30
"317075 Varjão de Minas";-;2;2;-
"317080 Várzea da Palma";3;6;6;4
"317090 Varzelândia";-;-;-;3
"317100 Vazante";-;-;-;-
"317103 Verdelândia";-;-;-;2
"317107 Veredinha";-;-;-;1
"317110 Veríssimo";-;-;-;3
"317115 Vermelho Novo";-;-;-;2
"317120 Vespasiano";6;1;1;22
"317130 Viçosa";-;4;5;15
"317140 Vieiras";-;-;-;2
"317160 Virgem da Lapa";-;-;-;1
"317170 Virgínia";-;-;-;-
"317180 Virginópolis";-;-;-;1
"317190 Virgolândia";3;4;3;-
"317200 Visconde do Rio Branco";-;-;-;8
"317210 Volta Grande";3;4;3;-
"317220 Wenceslau Braz";-;-;-;-
"310000 Município ignorado - MG";-;-;-;-
"320010 Afonso Cláudio";-;-;-;1
"320016 Água Doce do Norte";-;-;-;4
"320013 Águia Branca";-;-;-;3
"320020 Alegre";-;-;-;-
"320030 Alfredo Chaves";-;3;2;-
"320035 Alto Rio Novo";-;3;2;1
"320040 Anchieta";-;-;-;8
"320050 Apiacá";-;-;-;-
"320060 Aracruz";10;8;9;15
"320070 Atilio Vivacqua";-;-;-;-
"320080 Baixo Guandu";2;3;3;3
"320090 Barra de São Francisco";12;12;12;-
"320100 Boa Esperança";-;-;-;2
"320110 Bom Jesus do Norte";-;3;3;-
"320115 Brejetuba";5;3;4;1
"320120 Cachoeiro de Itapemirim";5;4;6;29
"320130 Cariacica";2;-;2;23
"320140 Castelo";-;-;-;2
"320150 Colatina";7;9;8;26
"320160 Conceição da Barra";-;5;5;-
"320170 Conceição do Castelo";-;-;-;-
"320180 Divino de São Lourenço";-;-;-;-
"320190 Domingos Martins";-;-;-;-
"320200 Dores do Rio Preto";-;-;-;-
"320210 Ecoporanga";-;-;-;1
"320220 Fundão";-;-;-;-
"320225 Governador Lindenberg";-;-;-;12
"320230 Guaçuí";-;-;-;3
"320240 Guarapari";6;1;6;13
"320245 Ibatiba";3;5;3;-
"320250 Ibiraçu";-;-;-;2
"320255 Ibitirama";-;-;-;-
"320260 Iconha";-;-;-;1
"320265 Irupi";-;-;-;2
"320270 Itaguaçu";-;-;-;6
"320280 Itapemirim";-;-;-;-
"320290 Itarana";-;-;-;5
"320300 Iúna";-;-;-;2
"320305 Jaguaré";-;-;-;3
"320310 Jerônimo Monteiro";-;-;-;1
"320313 João Neiva";-;-;-;6
"320316 Laranja da Terra";-;-;-;11
"320320 Linhares";-;-;-;10
"320330 Mantenópolis";-;-;-;-
"320332 Marataízes";-;-;-;-
"320334 Marechal Floriano";-;-;-;-
"320335 Marilândia";4;4;4;-
"320340 Mimoso do Sul";1;1;1;4
"320350 Montanha";-;-;-;1
"320360 Mucurici";-;-;-;1
"320370 Muniz Freire";-;-;-;-
"320380 Muqui";2;1;1;-
"320390 Nova Venécia";-;-;-;8
"320400 Pancas";-;-;-;3
"320405 Pedro Canário";2;3;2;2
"320410 Pinheiros";-;-;-;9
"320420 Piúma";-;-;-;5
"320425 Ponto Belo";-;-;-;-
"320430 Presidente Kennedy";2;4;4;-
"320435 Rio Bananal";-;4;4;-
"320440 Rio Novo do Sul";-;-;-;-
"320450 Santa Leopoldina";-;-;-;-
"320455 Santa Maria de Jetibá";-;-;-;-
"320460 Santa Teresa";1;1;1;2
"320465 São Domingos do Norte";-;-;-;-
"320470 São Gabriel da Palha";-;-;-;-
"320480 São José do Calçado";-;1;1;6
"320490 São Mateus";2;1;7;17
"320495 São Roque do Canaã";-;-;-;2
"320500 Serra";-;3;5;42
"320501 Sooretama";1;-;-;9
"320503 Vargem Alta";-;-;-;2
"320506 Venda Nova do Imigrante";-;-;-;8
"320510 Viana";-;-;2;10
"320515 Vila Pavão";-;-;-;3
"320517 Vila Valério";2;2;2;-
"320520 Vila Velha";-;2;16;52
"320530 Vitória";2;7;6;64
"320000 Município ignorado - ES";-;-;-;-
"330010 Angra dos Reis";-;19;20;17
"330015 Aperibé";-;-;-;4
"330020 Araruama";4;2;-;15
"330022 Areal";-;-;-;-
"330023 Armação dos Búzios";-;-;-;5
"330025 Arraial do Cabo";-;-;-;2
"330030 Barra do Piraí";-;2;2;11
"330040 Barra Mansa";4;5;8;8
"330045 Belford Roxo";1;-;-;5
"330050 Bom Jardim";-;1;-;2
"330060 Bom Jesus do Itabapoana";3;1;4;9
"330070 Cabo Frio";14;4;3;39
"330080 Cachoeiras de Macacu";-;-;-;-
"330090 Cambuci";-;-;-;-
"330100 Campos dos Goytacazes";7;20;14;121
"330110 Cantagalo";-;-;-;7
"330093 Carapebus";-;-;-;-
"330115 Cardoso Moreira";-;3;3;-
"330120 Carmo";-;-;-;12
"330130 Casimiro de Abreu";4;4;4;13
"330095 Comendador Levy Gasparian";-;-;-;3
"330140 Conceição de Macabu";-;-;-;59
"330150 Cordeiro";-;-;-;-
"330160 Duas Barras";-;-;-;2
"330170 Duque de Caxias";10;-;-;13
"330180 Engenheiro Paulo de Frontin";-;-;-;1
"330185 Guapimirim";3;-;-;8
"330187 Iguaba Grande";-;-;-;4
"330190 Itaboraí";5;2;2;61
"330200 Itaguaí";6;4;4;22
"330205 Italva";6;1;1;12
"330210 Itaocara";-;-;-;3
"330220 Itaperuna";2;2;2;47
"330225 Itatiaia";-;-;-;8
"330227 Japeri";2;1;1;6
"330230 Laje do Muriaé";-;-;-;-
"330240 Macaé";4;6;31;54
"330245 Macuco";-;-;-;-
"330250 Magé";3;7;15;5
"330260 Mangaratiba";3;4;4;23
"330270 Maricá";-;-;-;9
"330280 Mendes";-;-;-;1
"330285 Mesquita";-;-;-;2
"330290 Miguel Pereira";-;-;-;-
"330300 Miracema";1;1;1;11
"330310 Natividade";-;-;-;-
"330320 Nilópolis";-;4;-;3
"330330 Niterói";1;3;4;16
"330340 Nova Friburgo";4;1;2;14
"330350 Nova Iguaçu";8;10;11;30
"330360 Paracambi";4;-;-;8
"330370 Paraíba do Sul";-;-;-;16
"330380 Paraty";-;-;-;-
"330385 Paty do Alferes";-;-;-;1
"330390 Petrópolis";2;1;1;14
"330395 Pinheiral";-;-;-;-
"330400 Piraí";-;-;-;-
"330410 Porciúncula";-;-;-;12
"330411 Porto Real";-;-;-;-
"330412 Quatis";-;-;-;1
"330414 Queimados";36;-;-;7
"330415 Quissamã";1;-;-;3
"330420 Resende";-;-;-;20
"330430 Rio Bonito";-;-;-;15
"330440 Rio Claro";-;-;-;8
"330450 Rio das Flores";-;-;-;1
"330452 Rio das Ostras";1;-;-;-
"330455 Rio de Janeiro";35;11;11;369
"330460 Santa Maria Madalena";-;-;-;3
"330470 Santo Antônio de Pádua";1;3;3;12
"330480 São Fidélis";2;3;3;-
"330475 São Francisco de Itabapoana";-;-;-;8
"330490 São Gonçalo";3;6;45;74
"330500 São João da Barra";-;-;-;15
"330510 São João de Meriti";6;8;8;13
"330513 São José de Ubá";-;3;3;-
"330515 São José do Vale do Rio Preto";-;6;3;2
"330520 São Pedro da Aldeia";3;7;8;12
"330530 São Sebastião do Alto";-;2;2;2
"330540 Sapucaia";-;-;-;-
"330550 Saquarema";-;-;-;1
"330555 Seropédica";1;1;-;12
"330560 Silva Jardim";-;-;-;9
"330570 Sumidouro";-;-;-;2
"330575 Tanguá";-;-;-;-
"330580 Teresópolis";-;-;-;11
"330590 Trajano de Moraes";-;-;-;-
"330600 Três Rios";-;-;-;4
"330610 Valença";-;2;3;6
"330615 Varre-Sai";3;2;4;2
"330620 Vassouras";1;5;5;6
"330630 Volta Redonda";3;4;4;29
"330000 Município ignorado - RJ";-;-;-;-
"350010 Adamantina";-;-;-;4
"350020 Adolfo";-;-;-;3
"350030 Aguaí";-;-;-;1
"350040 Águas da Prata";1;-;-;3
"350050 Águas de Lindóia";-;-;-;9
"350055 Águas de Santa Bárbara";-;-;-;-
"350060 Águas de São Pedro";2;2;3;-
"350070 Agudos";-;-;-;-
"350075 Alambari";-;-;-;2
"350080 Alfredo Marcondes";-;4;2;-
"350090 Altair";-;3;3;-
"350100 Altinópolis";-;-;-;-
"350110 Alto Alegre";-;-;-;-
"350115 Alumínio";-;-;-;-
"350120 Álvares Florence";-;3;3;-
"350130 Álvares Machado";-;-;12;3
"350140 Álvaro de Carvalho";-;-;4;6
"350150 Alvinlândia";-;3;3;4
"350160 Americana";3;8;12;42
"350170 Américo Brasiliense";-;-;-;19
"350180 Américo de Campos";-;-;-;-
"350190 Amparo";-;-;-;26
"350200 Analândia";-;4;4;4
"350210 Andradina";3;9;7;9
"350220 Angatuba";-;-;-;-
"350230 Anhembi";-;-;-;-
"350240 Anhumas";-;-;-;7
"350250 Aparecida";5;5;5;2
"350260 Aparecida d'Oeste";-;-;-;-
"350270 Apiaí";-;-;-;1
"350275 Araçariguama";-;-;-;-
"350280 Araçatuba";-;1;-;54
"350290 Araçoiaba da Serra";-;-;-;-
"350300 Aramina";-;4;2;-
"350310 Arandu";-;-;-;-
"350315 Arapeí";-;-;-;-
"350320 Araraquara";-;2;6;28
"350330 Araras";4;5;4;9
"350335 Arco-Íris";-;-;-;-
"350340 Arealva";-;-;-;-
"350350 Areias";-;-;-;1
"350360 Areiópolis";-;-;-;12
"350370 Ariranha";-;-;-;4
"350380 Artur Nogueira";-;-;30;12
"350390 Arujá";8;8;8;10
"350395 Aspásia";-;-;-;3
"350400 Assis";10;7;13;42
"350410 Atibaia";-;-;-;11
"350420 Auriflama";-;-;-;-
"350430 Avaí";-;-;-;3
"350440 Avanhandava";-;2;8;-
"350450 Avaré";-;-;1;8
"350460 Bady Bassitt";-;-;-;-
"350470 Balbinos";-;-;-;4
"350480 Bálsamo";-;-;-;-
"350490 Bananal";-;-;-;-
"350500 Barão de Antonina";-;-;-;2
"350510 Barbosa";-;-;-;-
"350520 Bariri";-;-;-;-
"350530 Barra Bonita";-;-;-;6
"350535 Barra do Chapéu";-;-;-;3
"350540 Barra do Turvo";-;-;-;-
"350550 Barretos";7;11;41;50
"350560 Barrinha";2;-;1;19
"350570 Barueri";3;5;2;23
"350580 Bastos";-;-;-;7
"350590 Batatais";-;5;5;5
"350600 Bauru";10;29;27;96
"350610 Bebedouro";-;3;2;20
"350620 Bento de Abreu";-;-;-;3
"350630 Bernardino de Campos";-;-;1;-
"350635 Bertioga";2;1;3;10
"350640 Bilac";-;-;-;-
"350650 Birigui";-;-;-;11
"350660 Biritiba-Mirim";-;-;-;-
"350670 Boa Esperança do Sul";-;-;-;-
"350680 Bocaina";-;-;-;-
"350690 Bofete";4;4;4;-
"350700 Boituva";-;-;-;-
"350710 Bom Jesus dos Perdões";-;-;-;-
"350715 Bom Sucesso de Itararé";-;-;-;2
"350720 Borá";-;-;-;3
"350730 Boracéia";3;3;3;-
"350740 Borborema";-;-;-;-
"350745 Borebi";-;2;2;-
"350750 Botucatu";10;5;5;40
"350760 Bragança Paulista";-;1;-;14
"350770 Braúna";3;2;2;-
"350775 Brejo Alegre";-;-;-;4
"350780 Brodowski";-;-;-;4
"350790 Brotas";-;-;-;-
"350800 Buri";-;-;-;-
"350810 Buritama";-;-;-;2
"350820 Buritizal";-;-;-;2
"350830 Cabrália Paulista";4;3;4;-
"350840 Cabreúva";2;-;129;9
"350850 Caçapava";-;-;-;3
"350860 Cachoeira Paulista";-;-;-;-
"350870 Caconde";-;-;-;-
"350880 Cafelândia";-;-;-;-
"350890 Caiabu";-;-;-;3
"350900 Caieiras";3;3;2;4
"350910 Caiuá";-;-;3;-
"350920 Cajamar";5;3;3;13
"350925 Cajati";-;-;-;3
"350930 Cajobi";-;-;-;-
"350940 Cajuru";-;-;-;10
"350945 Campina do Monte Alegre";-;-;-;3
"350950 Campinas";22;12;25;416
"350960 Campo Limpo Paulista";-;-;-;1
"350970 Campos do Jordão";1;-;-;4
"350980 Campos Novos Paulista";-;-;-;1
"350990 Cananéia";-;-;-;-
"350995 Canas";-;-;-;-
"351000 Cândido Mota";-;-;-;-
"351010 Cândido Rodrigues";-;-;-;-
"351015 Canitar";-;-;-;3
"351020 Capão Bonito";-;-;-;2
"351030 Capela do Alto";-;-;8;2
"351040 Capivari";-;-;-;7
"351050 Caraguatatuba";6;7;7;14
"351060 Carapicuíba";-;4;4;12
"351070 Cardoso";-;-;-;2
"351080 Casa Branca";-;-;14;10
"351090 Cássia dos Coqueiros";-;-;-;-
"351100 Castilho";-;-;-;1
"351110 Catanduva";2;2;5;54
"351120 Catiguá";-;-;-;7
"351130 Cedral";3;6;6;10
"351140 Cerqueira César";-;-;6;7
"351150 Cerquilho";-;-;-;20
"351160 Cesário Lange";-;-;-;4
"351170 Charqueada";-;-;-;-
"355720 Chavantes";-;-;-;-
"351190 Clementina";-;-;-;6
"351200 Colina";-;-;-;-
"351210 Colômbia";-;-;-;-
"351220 Conchal";-;-;-;4
"351230 Conchas";-;-;-;-
"351240 Cordeirópolis";2;4;4;2
"351250 Coroados";-;-;-;5
"351260 Coronel Macedo";3;4;4;-
"351270 Corumbataí";-;-;-;4
"351280 Cosmópolis";-;-;-;9
"351290 Cosmorama";-;-;-;-
"351300 Cotia";-;-;-;48
"351310 Cravinhos";-;-;-;-
"351320 Cristais Paulista";4;1;-;5
"351330 Cruzália";-;4;3;-
"351340 Cruzeiro";-;-;-;20
"351350 Cubatão";-;-;-;15
"351360 Cunha";-;-;-;1
"351370 Descalvado";-;3;3;3
"351380 Diadema";9;10;10;53
"351385 Dirce Reis";1;1;1;1
"351390 Divinolândia";-;-;-;-
"351400 Dobrada";-;-;-;-
"351410 Dois Córregos";-;1;1;-
"351420 Dolcinópolis";-;-;-;6
"351430 Dourado";-;-;-;-
"351440 Dracena";-;-;-;17
"351450 Duartina";-;2;2;-
"351460 Dumont";4;4;4;-
"351470 Echaporã";2;4;4;-
"351480 Eldorado";-;-;-;-
"351490 Elias Fausto";3;3;3;7
"351492 Elisiário";-;-;-;2
"351495 Embaúba";-;-;-;-
"351500 Embu das Artes";-;-;-;18
"351510 Embu-Guaçu";-;-;-;-
"351512 Emilianópolis";2;4;4;-
"351515 Engenheiro Coelho";-;-;-;-
"351518 Espírito Santo do Pinhal";-;4;9;6
"351519 Espírito Santo do Turvo";-;4;3;-
"355730 Estiva Gerbi";-;-;20;-
"351520 Estrela d'Oeste";-;-;45;-
"351530 Estrela do Norte";-;-;-;6
"351535 Euclides da Cunha Paulista";-;-;-;4
"351540 Fartura";-;-;-;-
"351560 Fernando Prestes";-;4;4;2
"351550 Fernandópolis";-;15;12;23
"351565 Fernão";-;-;-;-
"351570 Ferraz de Vasconcelos";-;-;-;9
"351580 Flora Rica";-;-;-;3
"351590 Floreal";-;-;-;4
"351600 Flórida Paulista";-;-;-;-
"351610 Florínia";3;4;3;-
"351620 Franca";10;4;4;80
"351630 Francisco Morato";4;-;-;7
"351640 Franco da Rocha";-;3;14;8
"351650 Gabriel Monteiro";-;3;3;-
"351660 Gália";-;-;-;-
"351670 Garça";-;-;-;6
"351680 Gastão Vidigal";-;-;-;-
"351685 Gavião Peixoto";-;-;-;3
"351690 General Salgado";-;-;-;-
"351700 Getulina";-;-;-;-
"351710 Glicério";-;-;-;4
"351720 Guaiçara";-;-;-;2
"351730 Guaimbê";-;-;-;1
"351740 Guaíra";-;1;1;-
"351750 Guapiaçu";-;-;-;-
"351760 Guapiara";-;-;-;-
"351770 Guará";-;2;2;3
"351780 Guaraçaí";-;-;-;1
"351790 Guaraci";-;-;-;1
"351800 Guarani d'Oeste";-;-;-;5
"351810 Guarantã";-;-;-;-
"351820 Guararapes";-;-;-;5
"351830 Guararema";-;-;-;1
"351840 Guaratinguetá";4;10;16;13
"351850 Guareí";-;-;-;6
"351860 Guariba";-;-;-;1
"351870 Guarujá";7;10;12;50
"351880 Guarulhos";1;1;9;68
"351885 Guatapará";-;5;7;-
"351890 Guzolândia";-;3;3;-
"351900 Herculândia";-;-;-;-
"351905 Holambra";-;-;-;4
"351907 Hortolândia";-;-;9;28
"351910 Iacanga";-;-;-;-
"351920 Iacri";-;-;-;5
"351925 Iaras";-;-;11;-
"351930 Ibaté";-;1;-;6
"351940 Ibirá";-;-;-;7
"351950 Ibirarema";6;4;4;1
"351960 Ibitinga";-;-;-;4
"351970 Ibiúna";-;-;-;113
"351980 Icém";-;-;6;3
"351990 Iepê";-;-;-;3
"352000 Igaraçu do Tietê";-;-;-;-
"352010 Igarapava";-;-;-;-
"352020 Igaratá";-;-;-;1
